election_id,election_name,votetype_id,votetype_description,date,rs,election_type
2981,Ortschaftsratswahl Hausen - Hausen,0,NA,2019-05-26,84375006065,8
468,Bundestagswahl 2021 - Gemeinde Krauchenwies,0,Erststimmen,2021-09-26,84375006065,2
468,Bundestagswahl 2021 - Gemeinde Krauchenwies,1,Zweitstimmen,2021-09-26,84375006065,2
1763,Europawahl 2024 - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,1
2296,Gemeinderatswahl - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,6
5418,Ortschaftsratswahl Bittelschieß - Bittelschieß,0,NA,2024-06-09,84375006065,8
5420,Ortschaftsratswahl Hausen - Hausen,0,NA,2024-06-09,84375006065,8
5419,Ortschaftsratswahl Göggingen - Göggingen,0,NA,2024-06-09,84375006065,8
2633,Kreistagswahl 2024 - Gemeinde Krauchenwies,0,NA,2024-06-09,84375006065,5
5417,Ortschaftsratswahl Ablach - Ablach,0,NA,2024-06-09,84375006065,8
429,Bundestagswahl 2017 - Gemeinde Inzigkofen,0,Erststimmen,2017-09-24,84375006059,2
429,Bundestagswahl 2017 - Gemeinde Inzigkofen,1,Zweitstimmen,2017-09-24,84375006059,2
1423,Europawahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,1
6050,Gemeinderatswahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,6
2154,Kreistagswahl 2019 - Gemeinde Inzigkofen,0,NA,2019-05-26,84375006059,5
468,Bundestagswahl 2021 - Gemeinde Inzigkofen,0,Erststimmen,2021-09-26,84375006059,2
468,Bundestagswahl 2021 - Gemeinde Inzigkofen,1,Zweitstimmen,2021-09-26,84375006059,2
1763,Europawahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,1
3704,Gemeinderatswahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,6
3707,Ortschaftsratswahl 2024 Vilsingen - Vilsingen,0,NA,2024-06-09,84375006059,8
3708,Ortschaftsratswahl 2024 Engelswies - Engelswies,0,NA,2024-06-09,84375006059,8
2633,Kreistagswahl 2024 - Gemeinde Inzigkofen,0,NA,2024-06-09,84375006059,5
1423,Europawahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,1
5509,Gemeinderatswahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,6
2154,Kreistagswahl 2019 - Gemeinde Bingen,0,NA,2019-05-26,84375006008,5
468,Bundestagswahl 2021 - Gemeinde Bingen,0,Erststimmen,2021-09-26,84375006008,2
468,Bundestagswahl 2021 - Gemeinde Bingen,1,Zweitstimmen,2021-09-26,84375006008,2
3037,Bürgermeisterwahl - Gemeinde Bingen,0,NA,2024-01-21,84375006008,7
1763,Europawahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,1
5500,Gemeinderatswahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,6
2633,Kreistagswahl 2024 - Gemeinde Bingen,0,NA,2024-06-09,84375006008,5
1423,Europawahl 2019 - Gemeinde Beuron,0,NA,2019-05-26,84375006005,1
2154,Kreistagswahl 2019 - Gemeinde Beuron,0,NA,2019-05-26,84375006005,5
468,Bundestagswahl 2021 - Gemeinde Beuron,0,Erststimmen,2021-09-26,84375006005,2
468,Bundestagswahl 2021 - Gemeinde Beuron,1,Zweitstimmen,2021-09-26,84375006005,2
1763,Europawahl 2024 - Gemeinde Beuron,0,NA,2024-06-09,84375006005,1
2633,Kreistagswahl 2024 - Gemeinde Beuron,0,NA,2024-06-09,84375006005,5
1423,Europawahl 2019 - Stadt Bad Saulgau,0,NA,2019-05-26,84375005100,1
6105,Gemeinderatswahl 2019 - Stadt Bad Saulgau,0,NA,2019-05-26,84375005100,6
6110,Ortschaftsratswahl Friedberg - Friedberg,0,NA,2019-05-26,84375005100,8
6106,Ortschaftsratswahl Bierstetten - Bierstetten,0,NA,2019-05-26,84375005100,8
6107,Ortschaftsratswahl Bolstern - Bolstern,0,NA,2019-05-26,84375005100,8
6108,Ortschaftsratswahl Bondorf - Bondorf,0,NA,2019-05-26,84375005100,8
6109,Ortschaftsratswahl Braunenweiler - Braunenweiler,0,NA,2019-05-26,84375005100,8
6118,Ortschaftsratswahl Wolfartsweiler - Wolfartsweiler,0,NA,2019-05-26,84375005100,8
6111,Ortschaftsratswahl Fulgenstadt - Fulgenstadt,0,NA,2019-05-26,84375005100,8
6112,Ortschaftsratswahl Großtissen - Großtissen,0,NA,2019-05-26,84375005100,8
6113,Ortschaftsratswahl Haid - Haid,0,NA,2019-05-26,84375005100,8
6114,Ortschaftsratswahl Hochberg - Hochberg,0,NA,2019-05-26,84375005100,8
6115,Ortschaftsratswahl Lampertsweiler - Lampertsweiler,0,NA,2019-05-26,84375005100,8
6116,Ortschaftsratswahl Moosheim - Moosheim,0,NA,2019-05-26,84375005100,8
6117,Ortschaftsratswahl Renhardsweiler - Renhardsweiler,0,NA,2019-05-26,84375005100,8
2154,Kreistagswahl 2019 - Stadt Bad Saulgau,0,NA,2019-05-26,84375005100,5
468,Bundestagswahl 2021 - Stadt Bad Saulgau,0,Erststimmen,2021-09-26,84375005100,2
468,Bundestagswahl 2021 - Stadt Bad Saulgau,1,Zweitstimmen,2021-09-26,84375005100,2
1488,Bürgermeisterwahl - Stadt Bad Saulgau,0,NA,2023-11-12,84375005100,7
1763,Europawahl 2024 - Stadt Bad Saulgau,0,NA,2024-06-09,84375005100,1
4664,Gemeinderatswahl 2024 - Stadt Bad Saulgau,0,NA,2024-06-09,84375005100,6
5731,Ortschaftsratswahl Haid - Haid,0,NA,2024-06-09,84375005100,8
5732,Ortschaftsratswahl Hochberg - Hochberg,0,NA,2024-06-09,84375005100,8
5733,Ortschaftsratswahl Lampertsweiler - Lampertsweiler,0,NA,2024-06-09,84375005100,8
5736,Ortschaftsratswahl Wolfartsweiler - Wolfartsweiler,0,NA,2024-06-09,84375005100,8
5728,Ortschaftsratswahl Friedberg - Friedberg,0,NA,2024-06-09,84375005100,8
4665,Ortschaftsratswahl Bierstetten - Bierstetten,0,NA,2024-06-09,84375005100,8
5734,Ortschaftsratswahl Moosheim - Moosheim,0,NA,2024-06-09,84375005100,8
5729,Ortschaftsratswahl Fulgenstadt - Fulgenstadt,0,NA,2024-06-09,84375005100,8
5730,Ortschaftsratswahl Großtissen - Großtissen,0,NA,2024-06-09,84375005100,8
5725,Ortschaftsratswahl Bolstern - Bolstern,0,NA,2024-06-09,84375005100,8
5735,Ortschaftsratswahl Renhardsweiler - Renhardsweiler,0,NA,2024-06-09,84375005100,8
5726,Ortschaftsratswahl Bondorf - Bondorf,0,NA,2024-06-09,84375005100,8
5727,Ortschaftsratswahl Braunenweiler - Braunenweiler,0,NA,2024-06-09,84375005100,8
2633,Kreistagswahl 2024 - Stadt Bad Saulgau,0,NA,2024-06-09,84375005100,5
429,Bundestagswahl 2017 - Gemeinde Herbertingen,0,Erststimmen,2017-09-24,84375005044,2
429,Bundestagswahl 2017 - Gemeinde Herbertingen,1,Zweitstimmen,2017-09-24,84375005044,2
1423,Europawahl 2019 - Gemeinde Herbertingen,0,NA,2019-05-26,84375005044,1
2154,Kreistagswahl 2019 - Gemeinde Herbertingen,0,NA,2019-05-26,84375005044,5
2190,Ortschaftsrat Marbach - Marbach,0,NA,2019-05-26,84375005044,8
2191,Ortschaftsrat Mieterkingen - Mieterkingen,0,NA,2019-05-26,84375005044,8
2188,Gemeinderatswahl - Gemeinde Herbertingen,0,NA,2019-05-26,84375005044,6
2189,Ortschaftsrat Hundersingen - Hundersingen,0,NA,2019-05-26,84375005044,8
80,Bundestagswahl 2021 - Gemeinde Herbertingen,0,Erststimmen,2021-09-26,84375005044,2
80,Bundestagswahl 2021 - Gemeinde Herbertingen,1,Zweitstimmen,2021-09-26,84375005044,2
1117,Bürgermeisterwahl - Gemeinde Herbertingen,0,NA,2023-04-16,84375005044,7
1763,Europawahl 2024 - Gemeinde Herbertingen,0,NA,2024-06-09,84375005044,1
3201,Gemeinderatswahl - Gemeinde Herbertingen,0,NA,2024-06-09,84375005044,6
3202,Ortschaftsratswahl Hundersingen - Hundersingen,0,NA,2024-06-09,84375005044,8
3203,Ortschaftsratswahl Marbach - Marbach,0,NA,2024-06-09,84375005044,8
3204,Ortschaftsratswahl Mieterkingen - Mieterkingen,0,NA,2024-06-09,84375005044,8
2633,Kreistagswahl 2024 - Gemeinde Herbertingen,0,NA,2024-06-09,84375005044,5
429,Bundestagswahl 2017 - Gemeinde Herdwangen-Schönach,0,Erststimmen,2017-09-24,84375004124,2
429,Bundestagswahl 2017 - Gemeinde Herdwangen-Schönach,1,Zweitstimmen,2017-09-24,84375004124,2
1423,Europawahl 2019 - Gemeinde Herdwangen-Schönach,0,NA,2019-05-26,84375004124,1
5995,Gemeinderat 2019 - Gemeinde Herdwangen-Schönach,0,NA,2019-05-26,84375004124,6
2154,Kreistagswahl 2019 - Gemeinde Herdwangen-Schönach,0,NA,2019-05-26,84375004124,5
172,Landtagswahl BW 2021 - Gemeinde Herdwangen-Schönach,0,NA,2021-03-14,84375004124,3
468,Bundestagswahl 2021 - Gemeinde Herdwangen-Schönach,0,Erststimmen,2021-09-26,84375004124,2
468,Bundestagswahl 2021 - Gemeinde Herdwangen-Schönach,1,Zweitstimmen,2021-09-26,84375004124,2
972,Bürgermeisterwahl - Gemeinde Herdwangen-Schönach,0,NA,2023-03-05,84375004124,7
1207,Neuwahl - Gemeinde Herdwangen-Schönach,0,NA,2023-03-05,84375004124,7
1763,Europawahl 2024 - Gemeinde Herdwangen-Schönach,0,NA,2024-06-09,84375004124,1
3006,Gemeinderatswahl 2024 - Gemeinde Herdwangen-Schönach,0,NA,2024-06-09,84375004124,6
5503,Ortschaftsrat Oberndorf - Oberndorf,0,NA,2024-06-09,84375004124,8
2633,Kreistagswahl 2024 - Gemeinde Herdwangen-Schönach,0,NA,2024-06-09,84375004124,5
429,Bundestagswahl 2017 - Gemeinde Wald,0,Erststimmen,2017-09-24,84375004118,2
429,Bundestagswahl 2017 - Gemeinde Wald,1,Zweitstimmen,2017-09-24,84375004118,2
468,Bundestagswahl 2021 - Gemeinde Wald,0,Erststimmen,2021-09-26,84375004118,2
468,Bundestagswahl 2021 - Gemeinde Wald,1,Zweitstimmen,2021-09-26,84375004118,2
1763,Europawahl 2024 - Gemeinde Wald,0,NA,2024-06-09,84375004118,1
5677,Wahl des Gemeinderats in Wald - Gemeinde Wald,0,NA,2024-06-09,84375004118,6
6786,Ortschaftsratswahl Sentenhart - Sentenhart,0,NA,2024-06-09,84375004118,8
6787,Ortschaftsratswahl Glashütte/Kappel - Glashütte/Kappel,0,NA,2024-06-09,84375004118,8
2633,Kreistagswahl 2024 - Gemeinde Wald,0,NA,2024-06-09,84375004118,5
1423,Europawahl 2019 - Stadt Pfullendorf,0,NA,2019-05-26,84375004088,1
2154,Kreistagswahl 2019 - Stadt Pfullendorf,0,NA,2019-05-26,84375004088,5
468,Bundestagswahl 2021 - Stadt Pfullendorf,0,Erststimmen,2021-09-26,84375004088,2
468,Bundestagswahl 2021 - Stadt Pfullendorf,1,Zweitstimmen,2021-09-26,84375004088,2
386,Bürgermeisterwahl - Stadt Pfullendorf,0,NA,2022-10-23,84375004088,7
1763,Europawahl 2024 - Stadt Pfullendorf,0,NA,2024-06-09,84375004088,1
3705,Gemeinderatswahl Stadt Pfullendorf 2024 - Stadt Pfullendorf,0,NA,2024-06-09,84375004088,6
3957,Ortschaftsratswahl Aach-Linz 2024 - Aach-Linz,0,NA,2024-06-09,84375004088,8
3958,Ortschaftsratswahl Denkingen 2024 - Denkingen,0,NA,2024-06-09,84375004088,8
3959,Ortschaftsratswahl Gaisweiler 2024 - Gaisweiler,0,NA,2024-06-09,84375004088,8
3960,Ortschaftsratswahl Großstadelhofen 2024 - Großstadelhofen,0,NA,2024-06-09,84375004088,8
3961,Ortschaftsratswahl Mottschieß 2024 - Mottschieß,0,NA,2024-06-09,84375004088,8
3962,Ortschaftsratswahl Otterswang 2024 - Otterswang,0,NA,2024-06-09,84375004088,8
3963,Ortschaftsratswahl Zell a. A. 2024 - Zell a. A.,0,NA,2024-06-09,84375004088,8
2633,Kreistagswahl 2024 - Stadt Pfullendorf,0,NA,2024-06-09,84375004088,5
101,Landtagswahl 2016 - Gemeinde Illmensee,0,NA,2016-03-13,84375004056,3
429,Bundestagswahl 2017 - Gemeinde Illmensee,0,Erststimmen,2017-09-24,84375004056,2
429,Bundestagswahl 2017 - Gemeinde Illmensee,1,Zweitstimmen,2017-09-24,84375004056,2
1423,Europawahl 2019 - Gemeinde Illmensee,0,NA,2019-05-26,84375004056,1
4745,Gemeinderatswahl 2019 - Gemeinde Illmensee,0,NA,2019-05-26,84375004056,6
2154,Kreistagswahl 2019 - Gemeinde Illmensee,0,NA,2019-05-26,84375004056,5
172,Landtagswahl BW 2021 - Gemeinde Illmensee,0,NA,2021-03-14,84375004056,3
468,Bundestagswahl 2021 - Gemeinde Illmensee,0,Erststimmen,2021-09-26,84375004056,2
468,Bundestagswahl 2021 - Gemeinde Illmensee,1,Zweitstimmen,2021-09-26,84375004056,2
1763,Europawahl 2024 - Gemeinde Illmensee,0,NA,2024-06-09,84375004056,1
4972,Gemeinderatswahl 2024 - Gemeinde Illmensee,0,NA,2024-06-09,84375004056,6
2633,Kreistagswahl 2024 - Gemeinde Illmensee,0,NA,2024-06-09,84375004056,5
1423,Europawahl 2019 - Gemeinde Sauldorf,0,NA,2019-05-26,84375003123,1
4560,Gemeinderatswahl - Gemeinde Sauldorf,0,NA,2019-05-26,84375003123,6
2154,Kreistagswahl 2019 - Gemeinde Sauldorf,0,NA,2019-05-26,84375003123,5
468,Bundestagswahl 2021 - Gemeinde Sauldorf,0,Erststimmen,2021-09-26,84375003123,2
468,Bundestagswahl 2021 - Gemeinde Sauldorf,1,Zweitstimmen,2021-09-26,84375003123,2
1763,Europawahl 2024 - Gemeinde Sauldorf,0,NA,2024-06-09,84375003123,1
5181,Gemeinderat 2024 - Gemeinde Sauldorf,0,NA,2024-06-09,84375003123,6
2633,Kreistagswahl 2024 - Gemeinde Sauldorf,0,NA,2024-06-09,84375003123,5
4451,Ortschaftsratswahl Dietershofen - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
1423,Europawahl 2019 - Stadt Meßkirch,0,NA,2019-05-26,84375003078,1
4455,Ortschaftsratswahl Heudorf - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
4456,Ortschaftsratswahl Langenhart - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
4445,Gemeinderat Meßkirch 2019 - Stadt Meßkirch,0,NA,2019-05-26,84375003078,6
4457,Ortschaftsratswahl Menningen - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
4458,Ortschaftsratswahl Rengetsweiler - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
4459,Ortschaftsratswahl Ringgenbach - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
4460,Ortschaftsratswahl Rohrdorf - Stadt Meßkirch,0,NA,2019-05-26,84375003078,8
2154,Kreistagswahl 2019 - Stadt Meßkirch,0,NA,2019-05-26,84375003078,5
468,Bundestagswahl 2021 - Stadt Meßkirch,0,Erststimmen,2021-09-26,84375003078,2
468,Bundestagswahl 2021 - Stadt Meßkirch,1,Zweitstimmen,2021-09-26,84375003078,2
1763,Europawahl 2024 - Stadt Meßkirch,0,NA,2024-06-09,84375003078,1
7157,Ortschaftsratswahl Langenhart - Ortschaft Langenhart,0,NA,2024-06-09,84375003078,8
7158,Ortschaftswahl Menningen - Ortschaft Menningen,0,NA,2024-06-09,84375003078,8
7159,Ortschaftsratswahl Rengetsweiler - Ortschaft Rengetsweiler,0,NA,2024-06-09,84375003078,8
7162,Ortschaftsratswahl Dietershofen - Ortschaft Dietershofen,0,NA,2024-06-09,84375003078,8
